accX,accY,accZ,gyroX,gyroY,gyroZ,angleX
1.0913,0.8584,1.1909,-5.6152,-149.353,-6.0425,45.714
1.1748,0.8389,1.1782,-5.9204,-147.583,-3.7231,47.137
1.2334,0.8052,1.1777,-4.4556,-143.3105,-2.5635,48.615
1.2231,0.8047,1.1758,-3.1128,-139.0381,-2.5635,50.147
1.1714,0.8081,1.1514,-2.6855,-138.2446,-0.6714,51.746
1.1313,0.8218,1.1118,-2.6245,-141.7236,1.8311,53.454
1.1621,0.8276,1.0757,-7.3242,-147.0337,6.958,55.245
1.2544,0.8042,1.0449,-5.9814,-142.8223,5.3711,57.123
1.3647,0.8032,1.019,-6.0425,-130.188,1.3428,58.969
1.437,0.8198,1.0039,-7.4463,-111.0229,0.061,60.612
1.416,0.8486,1.0195,-10.498,-93.75,1.1597,62.007
